Name,Published On,Description,Publisher,Url
Trust Assertion maker tool,,"In this paper we outline the architecture of a distributed Trust Layer that can be superimposed to metadata generators, like our Trust Assertion Maker. TAM is a tool allowing to produce metadata from multiple sources in an authority-based environment, where user's role is certified and associated to a trust value. These metadata can complement metadata automatically generated by document classifiers. Our ongoing experimentation is aimed at validating the role of a Trust Layer as a technique for automatically screening high quality metadata in a set of assertions coming from sources with different level of trustworthiness.",,http://eproceedings.worldscinet.com/9789812774118/9789812774118_0073.html
"Computational Intelligence, Theory and Applications",Jan 2006,"Computational Intelligence, Theory and Applications",Springer,http://www.ellibs.com/book/9783540347835
