School Name,Start Date,End Date,Notes,Degree Name,Activities
ICONS,2007,2007,ITIL (Information Technology Infrastructure Library)  Foundation certificate,Certificate,
Università degli Studi di Milano,2001,2005,Thesis title:“Sistema di indicizzazione semantica di conoscenza trust based” tool di interesse per la British Telecom presentato al “FLINS  Conference of Applied Artificial Intelligence”.,Laurea breve in Scienze e Tecnologie Informatiche,
